Starting RemoveRandom Benchmark Sync
JavaIMPL 6	548	356	493	840	1922	3794	7919	17969	42296	89833	190858	483601	1034412	2456803	5632133	14423752	38504793	89701276	215063692	532181387
JavaIMPL 7	2205	194	678	843	1776	3916	10013	18445	44777	97341	211887	477509	1066440	2779882	7096254	16313116	37430815	97324755	227679726	514484439
JavaIMPL 8	680	199	749	1699	3009	6088	11351	27295	56705	138383	278847	607053	1345793	2729641	7633888	15857896	36686117	91348260	232429264	540917906
JavaIMPL 9	723	316	444	1039	1990	3721	10036	20198	43073	106512	203794	470280	1032603	2432484	5912880	13183930	32433238	86883881	218835462	569763380


Starting RemoveRandom Benchmark Concurrent 2
OurIMPL 0	883	748	750	1357	2856	5642	11091	23069	54416	980227	1751125	1341560	2266261	5185284	12137417	19237217	41005257	116026926	334113398	1126781702
OurIMPL 1	256	18959	776	1323	2573	6533	11322	99126	81704	203258	260552	774017	1583653	3351977	7355739	19481093	41858620	106347566	315946343	786534764
OurIMPL 2	168	1574	680	1312	2796	5108	10754	146887	282576	571182	1049164	1598590	2288665	4964771	10611281	22705461	39817709	108176384	327327300	912446758
OurIMPL 3	348	965	9660	1254	3988	15105	13103	21163	47782	157141	336316	710005	1448370	3201449	7000872	17093769	40345140	109245360	260620916	1140547879
OurIMPL 4	181	804	674	1251	2193	5184	11999	23946	51976	151064	302823	769854	1495809	3035481	7207945	16287573	41330305	107928242	312039025	964708154
OurIMPL 5	168	786	655	1554	2265	4864	13507	25697	80018	142838	327813	735601	1632082	3249737	7003975	17674146	42449261	103807604	306600395	1060127369
OurIMPL 6	188	1880	691	1221	4058	4574	14452	21777	50831	131676	287251	656734	1465026	3176373	7878872	16402052	44428736	108888604	329600343	923735953
OurIMPL 7	144	809	911	1211	2212	5215	22791	23129	91933	132011	333710	702927	1533000	3144466	6736248	16423361	48326646	106960660	246190905	1153620521
OurIMPL 8	137	1006	692	1138	2112	8515	10925	20669	72580	161090	304006	677686	1556994	3080480	7875568	16094623	43880401	118356752	347625415	1006858226
OurIMPL 9	136	1083	850	1304	2404	6688	16248	29705	83063	150505	345625	705090	1526539	3194141	28923689	18937373	41244891	106649475	321034692	851889061
JavaIMPL 0	655	399	525	798	1712	3578	8260	67725	244940	1189545	2590728	1797398	3348967	6144034	11319103	34013180	31139424	75565838	169760714	397084350
JavaIMPL 1	134	672	363	847	2090	2979	7766	16767	23464	136340	269696	564658	1225702	2631829	5948638	12859086	28783768	71366156	173061933	395794729
JavaIMPL 2	137	638	549	805	1565	5621	7009	18502	38375	79623	260366	538999	1214541	2635478	5703613	12976202	30277186	71395789	174558354	399431229
JavaIMPL 3	146	407	323	1063	2513	3579	7029	11529	52484	124885	258206	565024	1184599	2576275	6257583	13339070	30153215	71784403	184584440	407361537
JavaIMPL 4	135	1722	633	1830	2183	15478	38245	35049	167932	314941	1055669	1830216	4385958	8643961	18647441	16264157	32143237	73133555	171184724	395482763
JavaIMPL 5	141	542	424	681	2015	3113	7389	14348	51662	122895	260137	558547	1175312	2547794	5979445	13145115	28526583	69258295	163365599	399826106
