OurIMPL 2	774	277	430	935	1611	3585	8039	15949	34211	73017	157188	361318	884652	2073549	4649800	11630476	29544684	92752567	309130381	1355163107
JavaIMPL 2	421	121	253	499	921	3424	7256	16154	32725	80514	165831	368718	817179	1932395	4369309	10241910	23082818	61248636	151226957	371950128
OurIMPL 3	699	393	644	1353	2353	5333	10835	22819	48288	105156	224681	497671	1193375	2020750	4645937	11501484	29561296	89254386	302869916	1317720273
JavaIMPL 3	479	142	171	495	1642	3725	6238	16603	33753	78177	171905	360645	809496	1870069	4344196	10046660	23123875	56580804	144080911	363162481
OurIMPL 4	507	311	412	977	1650	3694	8138	16219	34948	72419	158818	352317	892803	2018762	4725463	11336137	29325785	90634236	300292924	1061979260
JavaIMPL 4	419	204	167	353	1251	2836	7322	14681	33019	76990	166165	361746	800140	1848714	4340573	10282975	22809520	55732308	147923679	363924049
OurIMPL 5	540	214	394	941	1619	3600	7805	16056	34376	73892	155635	364522	900498	1998897	4642277	11287150	30307971	89958396	306108630	1324616877
JavaIMPL 5	993	108	328	542	1240	3594	7371	16169	32943	75829	164265	356915	815052	1848328	4395378	10055090	22776824	57535404	151087734	366017174
OurIMPL 6	607	251	415	947	1638	3673	7747	16379	34152	73379	158418	367630	880489	1988704	4844956	11559017	29572750	104067008	314547619	1335251803
JavaIMPL 6	491	250	276	533	981	3530	7879	15602	32252	76178	161753	366910	827767	1887317	4434543	10229453	23156421	56446469	148021821	364693325
OurIMPL 7	661	294	413	943	1616	3624	7931	16243	34531	73585	153775	378459	857261	2019433	4698339	10910102	30867831	91573095	309476683	1332653703
JavaIMPL 7	446	148	146	484	1220	3186	6606	13693	32792	74109	166889	356277	796989	1842476	4399465	10229380	23003353	56983353	148696614	368042337
OurIMPL 8	638	294	428	890	1652	3548	7921	15770	34698	72714	155694	373246	880664	2041721	4730982	11299760	30213191	88867007	237973138	1335437882
JavaIMPL 8	461	112	317	745	1737	3141	7678	15567	39297	97136	204327	478531	791372	1933396	4403784	10252907	22553239	55385744	150977149	359179713
